case_id,type,severity,confidence,description,wallets
RAAZ-26-1001,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,0xff246f9db5babe918b67d3462fc2084f96492788;0xdbcac340a8fd5582b672a1d0397733df525d1b2e;0x1ffaa4678f91e1efb04e2d0e9102310e8a52f8a4;0xfeccf3e47dcb491772e0904b608a206fbf635b51;0x9d2b4a59159a577300bd55d397d77455f7887ea1
RAAZ-26-1001,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,0x33103adc68c901db7a66a05950fa7869aef600f5;0xcf85387e2c7f011d9e0c35469995531adfeffe45;0x218a1faca2588b03e262e933eb9f638886fbdb87;0xd6244ff3d4d16cdfea410b819d3d42e5d41d062b;0xd4b79490a6522a389e7e3ed698d5ac135c0a9cae;0x3d507b580042f02042d429beaf691c8ed6c6e916;0x28cc1184db3a9a0039456586278417622914975a;0x567f9376fb68ac617574ce9288245d5d47122b63;0xdf9284eaff073061d1e31a2147df0e111c8f6aa1;0x8bbf50892958e1e81293a78806dc8d6ffa56f170;0x8f249eddd14a292a50e00eda6c633f3765adee29;0xca01913001a3657c5ceb03151b938330083b5b31
RAAZ-26-1001,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,0xa43c436cc26e51b716c182126279d81413cac1f6
RAAZ-26-1001,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,0xdbcac340a8fd5582b672a1d0397733df525d1b2e;0x1ffaa4678f91e1efb04e2d0e9102310e8a52f8a4;0xfeccf3e47dcb491772e0904b608a206fbf635b51;0x9d2b4a59159a577300bd55d397d77455f7887ea1
RAAZ-26-1002,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TifSd2hP6mxjDp9zH7AVCUmCJFVignpVnV;TUK7Bod7fgZGpa3Rr9ZTkMkhFou7WHDcvN;TkrqqVPQUApekqeyyktjTQDSrKpbALNhxY;TTPxtV499JX1VziwRvVEDTmQBs5M4zcowa;TRQkTQCtEei2NsbbYVfbWeiTLe4SDDqoMr
RAAZ-26-1002,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,TLJstrMPBZyfVGphofpNA3Lwm4XjyoiAYu;TsuxYuVVvtXLU8kmoFCTijNAkp6e5LKK3V;TPm5oy4HV3VJEDM6AKJWXUhMEv3cS9zEaZ;TGxVmBXPzULahUEhdDNod1ksE2xrg1Z2rE
RAAZ-26-1002,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TVMU4h1NnoY1RgTU5jiyJkKM8ZM237nnpo
RAAZ-26-1003,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,T3WPitheEtDUAYQy4fqzMYJXbj4KBWSWGv;Te5RueNhVd6Jwxbf7ReqL18R2EGTiQebiq;TWyVkh75WTGH3LLPbF5C8dwPPMLJy31mvn;TBYWRsWgzqRac7qcYXrKwExWBMLVvmfgeR;TQ4b6SHYQfZ3H47VoyudN5HhdR1bBcgeLq;TvyUhZkGiWkVfPuCD6QpaucgGpSDekjkTG
RAAZ-26-1003,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,TLyVQYeiM4dfw9k6jGkHLpynqgHfckBZbd;TgEsSgL7X82eUoGGWA9QhdVnD9A4toR2rZ;T1iLWHL6DkdFdLL27dQAoFuNAkVzYvy9rU;T4EGxyUr4BjBx8RR3K6XLnPgDDoeAPqTJn;TP9VTD5raGkGEa8X3SvbdYQ51sRLS7AfTR
RAAZ-26-1003,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
